run,epoch,step,car_AP_0.5,car_AP_1.0,car_AP_2.0,car_AP_4.0,car_ATE,car_ASE,car_AOE,car_AVE,car_AAE,mATE,mASE,mAOE,mAVE,mAAE,truck_AP_0.5,truck_AP_1.0,truck_AP_2.0,truck_AP_4.0,truck_ATE,truck_ASE,truck_AOE,truck_AVE,truck_AAE,construction_vehicle_AP_0.5,construction_vehicle_AP_1.0,construction_vehicle_AP_2.0,construction_vehicle_AP_4.0,construction_vehicle_ATE,construction_vehicle_ASE,construction_vehicle_AOE,construction_vehicle_AVE,construction_vehicle_AAE,bus_AP_0.5,bus_AP_1.0,bus_AP_2.0,bus_AP_4.0,bus_ATE,bus_ASE,bus_AOE,bus_AVE,bus_AAE,trailer_AP_0.5,trailer_AP_1.0,trailer_AP_2.0,trailer_AP_4.0,trailer_ATE,trailer_ASE,trailer_AOE,trailer_AVE,trailer_AAE,barrier_AP_0.5,barrier_AP_1.0,barrier_AP_2.0,barrier_AP_4.0,barrier_ATE,barrier_ASE,barrier_AOE,barrier_AVE,barrier_AAE,motorcycle_AP_0.5,motorcycle_AP_1.0,motorcycle_AP_2.0,motorcycle_AP_4.0,motorcycle_ATE,motorcycle_ASE,motorcycle_AOE,motorcycle_AVE,motorcycle_AAE,bicycle_AP_0.5,bicycle_AP_1.0,bicycle_AP_2.0,bicycle_AP_4.0,bicycle_ATE,bicycle_ASE,bicycle_AOE,bicycle_AVE,bicycle_AAE,pedestrian_AP_0.5,pedestrian_AP_1.0,pedestrian_AP_2.0,pedestrian_AP_4.0,pedestrian_ATE,pedestrian_ASE,pedestrian_AOE,pedestrian_AVE,pedestrian_AAE,traffic_cone_AP_0.5,traffic_cone_AP_1.0,traffic_cone_AP_2.0,traffic_cone_AP_4.0,traffic_cone_ATE,traffic_cone_ASE,traffic_cone_AOE,traffic_cone_AVE,traffic_cone_AAE,NDS,mAP,model,subset,experiment_name,gpu_type,max_epochs
20260513_130339,,1,0.6473,0.7887000000000001,0.8393,0.8606,0.2267,0.19690000000000002,0.24450000000000002,1.6298,0.3884,0.442,0.3433,0.9961000000000001,1.2328000000000001,0.3322,0.13490000000000002,0.3186,0.4345,0.505,0.4973,0.33690000000000003,0.46690000000000004,1.4694,0.4242,0.0001,0.057100000000000005,0.1768,0.2521,0.8517,0.5062,1.7131,0.1579,0.329,0.0867,0.30460000000000004,0.4858,0.5519000000000001,0.5941000000000001,0.262,1.4198,2.8752,0.6887,0.0,0.0125,0.1285,0.24680000000000002,0.9942000000000001,0.4111,1.6156000000000001,0.6919000000000001,0.29650000000000004,0.2939,0.4601,0.5077,0.5354,0.3196,0.325,0.2281,,,0.26380000000000003,0.3766,0.3957,0.40850000000000003,0.32,0.36660000000000004,1.19,1.8702,0.2579,0.2782,0.33890000000000003,0.34540000000000004,0.3758,0.2519,0.3442,1.4065,0.6185,0.0728,0.7527,0.7769,0.7948000000000001,0.8131,0.1797,0.296,0.6802,0.5492,0.19990000000000002,0.6283000000000001,0.6498,0.6784,0.7303000000000001,0.1849,0.38820000000000005,,,,0.40409813632137603,0.43090736421253606,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260513_184611,,2,0.7169,0.8342,0.8736,0.8881,0.20020000000000002,0.18,0.16340000000000002,1.2066,0.2707,0.377,0.3106,0.8207,1.0523,0.2735,0.14830000000000002,0.33590000000000003,0.4343,0.481,0.4776,0.29660000000000003,0.3401,1.2887,0.3851,0.0036000000000000003,0.06960000000000001,0.19060000000000002,0.2797,0.7945,0.4642,1.5217,0.1492,0.3191,0.1399,0.4258,0.5653,0.6536000000000001,0.5262,0.24580000000000002,0.8158000000000001,2.5856,0.5695,0.0135,0.11520000000000001,0.19920000000000002,0.2797,0.6711,0.308,1.3464,0.7329,0.30820000000000003,0.3744,0.5176000000000001,0.5660000000000001,0.5862,0.274,0.3417,0.1018,,,0.36210000000000003,0.5018,0.5211,0.5388000000000001,0.2928,0.29450000000000004,1.146,1.3686,0.1778,0.3952,0.4415,0.45120000000000005,0.4701,0.21610000000000001,0.32480000000000003,1.4434,0.7117,0.030600000000000002,0.8012,0.8195,0.834,0.8479,0.1552,0.2867,0.5081,0.37470000000000003,0.1267,0.6694,0.6851,0.7112,0.752,0.1628,0.3637,,,,0.465496738434017,0.487360860846249,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260514_002313,,3,0.7172000000000001,0.8373,0.8753000000000001,0.8885000000000001,0.197,0.18380000000000002,0.1345,0.5794,0.21080000000000002,0.3501,0.3032,0.6729,0.7627,0.22710000000000002,0.2228,0.387,0.4793,0.5333,0.4032,0.273,0.26680000000000004,0.6183000000000001,0.2508,0.0055000000000000005,0.1208,0.24880000000000002,0.3531,0.7536,0.46890000000000004,1.3758,0.15660000000000002,0.31980000000000003,0.186,0.42560000000000003,0.5878,0.6854,0.4917,0.25420000000000004,0.4852,2.4085,0.3946,0.0346,0.1728,0.30910000000000004,0.4061,0.6512,0.3014,1.2693,0.74,0.2806,0.4153,0.5408000000000001,0.5823,0.6038,0.24710000000000001,0.3124,0.07980000000000001,,,0.4747,0.6216,0.644,0.6603,0.2558,0.28500000000000003,0.8819,0.9191,0.22160000000000002,0.4138,0.4577,0.4635,0.48190000000000005,0.20850000000000002,0.2884,1.1151,0.3446,0.0154,0.8144,0.8286,0.8406,0.8531000000000001,0.1448,0.2898,0.4474,0.3351,0.1232,0.6789000000000001,0.6945,0.7167,0.7551,0.1479,0.3748,,,,0.5311245552300491,0.525440683402657,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260514_111058,,4,0.7369,0.8457,0.8825000000000001,0.8955000000000001,0.1903,0.1768,0.137,0.5095000000000001,0.2036,0.33590000000000003,0.2975,0.5839,0.5323,0.2021,0.2621,0.4364,0.5275000000000001,0.5779000000000001,0.38520000000000004,0.2656,0.2041,0.49250000000000005,0.23500000000000001,0.0063,0.1368,0.25780000000000003,0.34590000000000004,0.72,0.43920000000000003,1.2912,0.1449,0.3453,0.23420000000000002,0.499,0.6626000000000001,0.739,0.4581,0.2209,0.2733,1.2212,0.24880000000000002,0.045700000000000005,0.1743,0.32330000000000003,0.4208,0.6144000000000001,0.3215,1.2693,0.4481,0.24020000000000002,0.44980000000000003,0.5735,0.6143000000000001,0.6331,0.2404,0.3069,0.073,,,0.46890000000000004,0.605,0.624,0.6352,0.2461,0.2788,0.685,0.8907,0.21780000000000002,0.3931,0.4524,0.4607,0.4698,0.2273,0.2924,0.8754000000000001,0.2758,0.0154,0.8211,0.8363,0.8488,0.8606,0.1381,0.2886,0.4466,0.276,0.1109,0.6943,0.7082,0.7277,0.7609,0.13870000000000002,0.3844,,,,0.575424045834347,0.541196884703093,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260514_165002,,5,0.7421,0.8497,0.8828,0.896,0.18730000000000002,0.1683,0.1155,0.4181,0.19360000000000002,0.326,0.28090000000000004,0.578,0.4494,0.20720000000000002,0.2766,0.44880000000000003,0.5392,0.5821000000000001,0.37410000000000004,0.22740000000000002,0.18960000000000002,0.40950000000000003,0.246,0.006500000000000001,0.1305,0.2637,0.3613,0.7472000000000001,0.46490000000000004,1.1909,0.1482,0.3294,0.234,0.43370000000000003,0.5905,0.677,0.4433,0.20090000000000002,0.23970000000000002,1.1102,0.275,0.051000000000000004,0.1797,0.3148,0.4171,0.5853,0.27590000000000003,1.1467,0.4501,0.2378,0.4219,0.524,0.5618000000000001,0.58,0.22160000000000002,0.2874,0.0641,,,0.5139,0.6287,0.6535000000000001,0.6667000000000001,0.2361,0.2696,0.7258,0.5144000000000001,0.264,0.4308,0.4727,0.48090000000000005,0.4933,0.1937,0.271,1.1017,0.2626,0.01,0.8280000000000001,0.8407,0.8521000000000001,0.8639,0.1364,0.2853,0.42760000000000004,0.28200000000000003,0.1019,0.6879000000000001,0.7010000000000001,0.7205,0.7536,0.135,0.3588,,,,0.5852584200440141,0.538820653579423,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260514_230302,,6,0.746,0.8524,0.8845000000000001,0.8996000000000001,0.1839,0.16570000000000001,0.09630000000000001,0.4174,0.19,0.3171,0.2832,0.5181,0.44430000000000003,0.1978,0.2922,0.47050000000000003,0.5579000000000001,0.6073000000000001,0.3648,0.2228,0.1578,0.4277,0.234,0.012100000000000001,0.1178,0.2642,0.3311,0.7381000000000001,0.4631,1.2959,0.1408,0.3224,0.312,0.512,0.6693,0.735,0.4027,0.2046,0.1516,0.9861000000000001,0.2554,0.053,0.17,0.2831,0.3912,0.5527000000000001,0.2777,1.1764000000000001,0.402,0.217,0.4359,0.5399,0.5863,0.6036,0.231,0.30210000000000004,0.0601,,,0.5261,0.6508,0.672,0.6812,0.22840000000000002,0.2551,0.4808,0.6442,0.2379,0.43770000000000003,0.47690000000000005,0.4848,0.4983,0.20570000000000002,0.2813,0.8413,0.26780000000000004,0.010100000000000001,0.8287,0.8415,0.8527,0.8637,0.1351,0.2899,0.4022,0.2682,0.1159,0.7075,0.7182000000000001,0.7377,0.7675000000000001,0.129,0.3693,,,,0.599860768969643,0.551810853338304,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260515_112019,,7,0.7428,0.8466,0.8778,0.893,0.18130000000000002,0.1641,0.0945,0.3776,0.18860000000000002,0.3133,0.27990000000000004,0.4984,0.39480000000000004,0.20600000000000002,0.3075,0.4823,0.5736,0.6216,0.35750000000000004,0.2214,0.1573,0.3658,0.24450000000000002,0.0064,0.09870000000000001,0.2363,0.3125,0.7727,0.4567,1.0662,0.1396,0.3559,0.32020000000000004,0.5154,0.663,0.7314,0.39890000000000003,0.2114,0.18910000000000002,0.9065000000000001,0.2691,0.0719,0.19310000000000002,0.28750000000000003,0.39130000000000004,0.5144000000000001,0.28450000000000003,1.1414,0.2979,0.22920000000000001,0.42510000000000003,0.5226000000000001,0.5608000000000001,0.5776,0.22,0.2929,0.056900000000000006,,,0.5155000000000001,0.6405000000000001,0.661,0.6713,0.22460000000000002,0.25680000000000003,0.5394,0.5759000000000001,0.2301,0.4368,0.4717,0.4827,0.49410000000000004,0.1976,0.2637,0.8318000000000001,0.23850000000000002,0.016300000000000002,0.8289000000000001,0.8409000000000001,0.8519,0.8638,0.134,0.2908,0.40940000000000004,0.25630000000000003,0.1139,0.6822,0.6953,0.7141000000000001,0.7413000000000001,0.1317,0.3569,,,,0.603900953921873,0.546274008851188,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260515_165751,,8,0.746,0.8468,0.8815000000000001,0.8939,0.1822,0.1637,0.092,0.371,0.18510000000000001,0.3105,0.2811,0.4833,0.37520000000000003,0.1967,0.30810000000000004,0.4839,0.5686,0.6155,0.3532,0.2182,0.1394,0.3284,0.2361,0.0106,0.1237,0.2594,0.34690000000000004,0.7421,0.4577,1.0588,0.1369,0.3486,0.3211,0.5039,0.6736000000000001,0.7458,0.3906,0.21150000000000002,0.1462,0.7949,0.2389,0.0712,0.1847,0.30160000000000003,0.40340000000000004,0.5393,0.2877,1.1494,0.3003,0.20420000000000002,0.4268,0.5215000000000001,0.5673,0.5854,0.2207,0.2933,0.0534,,,0.5164,0.65,0.668,0.678,0.2253,0.2545,0.46440000000000003,0.5959,0.2427,0.4325,0.47640000000000005,0.4853,0.495,0.1918,0.2736,0.8536,0.22290000000000001,0.0145,0.8259000000000001,0.8374,0.8479,0.8588,0.1306,0.292,0.3922,0.2515,0.1033,0.6902,0.7005,0.7191000000000001,0.7482000000000001,0.1295,0.35860000000000003,,,,0.610585758180068,0.550528095634588,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260515_225616,,9,0.7446,0.8463,0.8781,0.8936000000000001,0.1821,0.16670000000000001,0.0872,0.37110000000000004,0.1836,0.3126,0.2803,0.4777,0.37,0.1966,0.29250000000000004,0.4732,0.5572,0.6067,0.3559,0.2258,0.1311,0.328,0.2368,0.0132,0.1222,0.2736,0.366,0.7521,0.45020000000000004,1.0563,0.1442,0.33790000000000003,0.32880000000000004,0.5023,0.6671,0.7408,0.3891,0.2141,0.15410000000000001,0.7884,0.2401,0.0746,0.2,0.3231,0.4283,0.544,0.2843,1.1473,0.2995,0.2126,0.4178,0.5119,0.5512,0.5690000000000001,0.2182,0.2896,0.0536,,,0.5097,0.6475000000000001,0.6666000000000001,0.6763,0.23220000000000002,0.2531,0.45980000000000004,0.5621,0.2426,0.429,0.4681,0.48,0.4894,0.1953,0.2661,0.8146,0.21680000000000002,0.013300000000000001,0.8262,0.8376,0.8481000000000001,0.8591000000000001,0.1306,0.2901,0.3952,0.25,0.1058,0.6947,0.706,0.7239,0.7536,0.12610000000000002,0.3634,,,,0.6112504549533521,0.549944163083927,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
20260516_114843,,10,0.7404000000000001,0.845,0.8765000000000001,0.8916000000000001,0.1821,0.16690000000000002,0.08850000000000001,0.37170000000000003,0.1852,0.3141,0.28240000000000004,0.4798,0.37720000000000004,0.1993,0.28750000000000003,0.4703,0.5544,0.6069,0.36060000000000003,0.23270000000000002,0.13440000000000002,0.33080000000000004,0.23770000000000002,0.0145,0.11420000000000001,0.26980000000000004,0.36210000000000003,0.7543000000000001,0.4446,1.0811,0.1466,0.3426,0.3315,0.5071,0.6738000000000001,0.7474000000000001,0.3927,0.2112,0.15,0.7998000000000001,0.2492,0.0745,0.2006,0.3161,0.4157,0.5473,0.29660000000000003,1.1418,0.3055,0.2149,0.418,0.5136000000000001,0.5586,0.5721,0.22130000000000002,0.2893,0.0545,,,0.5138,0.644,0.6636000000000001,0.6726000000000001,0.23020000000000002,0.254,0.4791,0.5932000000000001,0.24710000000000001,0.43760000000000004,0.47150000000000003,0.4812,0.4912,0.19540000000000002,0.27390000000000003,0.7952,0.22,0.012700000000000001,0.8212,0.8325,0.8431000000000001,0.8544,0.131,0.29,0.3935,0.24980000000000002,0.1046,0.6925,0.7037,0.7225,0.7525000000000001,0.12660000000000002,0.3647,,,,0.609227276839255,0.5490037268150071,bevfusion,40pct,bevfusion_nuscenes_40pct_10ep_run1,a100,10
